iter	Passed	Remaining
0	137	137034
1	139	69438
2	140	46835
3	142	35488
4	144	28798
5	146	24275
6	148	21007
7	149	18568
8	151	16681
9	154	15246
10	155	13999
11	157	12951
12	159	12091
13	160	11333
14	162	10694
15	165	10156
16	166	9656
17	168	9207
18	170	8799
19	171	8425
20	173	8092
21	175	7804
22	177	7536
23	179	7284
24	180	7047
25	182	6833
26	184	6637
27	185	6455
28	187	6291
29	189	6131
30	191	5975
31	192	5829
32	194	5697
33	196	5577
34	198	5464
35	199	5354
36	201	5253
37	203	5147
38	204	5050
39	206	4957
40	208	4876
41	210	4798
42	212	4725
43	213	4646
44	215	4563
45	216	4486
46	217	4410
47	219	4344
48	220	4281
49	222	4228
50	223	4168
51	225	4103
52	226	4040
53	227	3980
54	228	3925
55	229	3870
56	230	3813
57	231	3757
58	232	3708
59	233	3658
60	235	3618
61	236	3571
62	236	3523
63	237	3474
64	238	3426
65	238	3381
66	239	3338
67	240	3290
68	240	3251
69	241	3211
70	242	3171
71	243	3132
72	243	3095
73	244	3061
74	245	3026
75	246	2992
76	247	2965
77	248	2935
78	249	2905
79	250	2875
80	250	2846
81	251	2817
82	252	2787
83	253	2760
84	253	2728
85	254	2701
86	254	2672
87	255	2646
88	256	2621
89	256	2596
90	257	2575
91	258	2553
92	259	2531
93	260	2511
94	261	2490
95	262	2470
96	262	2448
97	263	2426
98	264	2406
99	265	2385
100	265	2365
101	266	2342
102	266	2323
103	267	2304
104	268	2285
105	268	2267
106	269	2251
107	270	2235
108	271	2220
109	272	2206
110	273	2192
111	274	2176
112	275	2160
113	275	2144
114	276	2128
115	277	2111
116	277	2095
117	278	2080
118	278	2064
119	279	2050
120	280	2035
121	280	2021
122	281	2005
123	282	1993
124	283	1981
125	284	1971
126	285	1960
127	285	1946
128	286	1935
129	287	1924
130	288	1912
131	289	1901
132	289	1889
133	290	1877
134	291	1866
135	292	1855
136	292	1844
137	293	1832
138	294	1822
139	295	1814
140	296	1806
141	297	1797
142	298	1788
143	299	1780
144	300	1770
145	301	1761
146	301	1751
147	302	1742
148	303	1733
149	304	1723
150	304	1713
151	305	1704
152	306	1695
153	307	1689
154	308	1682
155	309	1674
156	310	1668
157	311	1661
158	312	1653
159	313	1644
160	314	1636
161	314	1628
162	315	1620
163	316	1611
164	316	1604
165	317	1596
166	318	1588
167	319	1580
